"sys_created_on","date","street_name","traffic_flow"
"2024-06-19 14:00:02","2024-06-19 14:00:02","Orange Blossom Trail","14 mins"
"2024-06-19 14:00:02","2024-06-19 14:00:02","Orange Ave","17 mins"
"2024-06-19 14:00:02","2024-06-19 14:00:02","Colonial Dr","20 mins"
"2024-06-19 09:00:02","2024-06-19 09:00:02","Colonial Dr","16 mins"
"2024-06-19 09:00:02","2024-06-19 09:00:02","Orange Blossom Trail","13 mins"
"2024-06-19 09:00:02","2024-06-19 09:00:02","Orange Ave","17 mins"
"2024-06-19 04:00:03","2024-06-19 04:00:03","Colonial Dr","15 mins"
"2024-06-19 04:00:02","2024-06-19 04:00:02","Orange Blossom Trail","12 mins"
"2024-06-19 04:00:02","2024-06-19 04:00:02","Orange Ave","15 mins"
"2024-06-18 14:00:01","2024-06-18 14:00:01","Orange Blossom Trail","14 mins"
"2024-06-18 14:00:01","2024-06-18 14:00:01","Colonial Dr","21 mins"
"2024-06-18 14:00:00","2024-06-18 14:00:00","Orange Ave","17 mins"
"2024-06-18 09:00:01","2024-06-18 09:00:01","Colonial Dr","16 mins"
"2024-06-18 09:00:01","2024-06-18 09:00:01","Orange Ave","18 mins"
"2024-06-18 09:00:01","2024-06-18 09:00:01","Orange Blossom Trail","13 mins"
"2024-06-18 04:00:02","2024-06-18 04:00:02","Colonial Dr","16 mins"
"2024-06-18 04:00:01","2024-06-18 04:00:01","Orange Ave","16 mins"
"2024-06-18 04:00:01","2024-06-18 04:00:01","Orange Blossom Trail","12 mins"
"2024-06-17 14:00:03","2024-06-17 14:00:03","Colonial Dr","19 mins"
"2024-06-17 14:00:02","2024-06-17 14:00:02","Orange Ave","18 mins"
"2024-06-17 14:00:02","2024-06-17 14:00:02","Orange Blossom Trail","14 mins"
"2024-06-17 10:12:31","2024-06-17 10:12:31","Colonial Dr","16 mins"
"2024-06-17 10:12:31","2024-06-17 10:12:31","Orange Blossom Trail","13 mins"
"2024-06-17 10:12:31","2024-06-17 10:12:31","Orange Ave","16 mins"
"2024-06-17 10:12:21","2024-06-17 10:12:21","Orange Ave","16 mins"
"2024-06-17 10:12:21","2024-06-17 10:12:21","Colonial Dr","15 mins"
"2024-06-17 10:12:21","2024-06-17 10:12:21","Orange Blossom Trail","13 mins"
"2024-06-17 10:11:04","2024-06-17 10:11:04","Orange Ave","17 mins"
"2024-06-17 10:11:04","2024-06-17 10:11:04","Colonial Dr","15 mins"
"2024-06-17 10:11:04","2024-06-17 10:11:04","Orange Blossom Trail","13 mins"
"2024-06-17 10:08:25","2024-06-17 10:08:25","Orange Blossom Trail","13 mins"
"2024-06-17 10:08:25","2024-06-17 10:08:25","Orange Ave","17 mins"
"2024-06-17 10:08:25","2024-06-17 10:08:25","Colonial Dr","16 mins"
